Designator,Mid X,Mid Y,Rotation,Layer
C1,138.2,-114.825,90.0,top
C10,214.3,-82.4625,270.0,top
C11,217.8,-82.5,270.0,top
C12,217.41875,-102.6,90.0,top
C13,213.71875,-102.6,90.0,top
C14,209.7,-93.1,90.0,top
C15,198.8,-88.3,180.0,top
C16,189.05,-88.6375,270.0,top
C17,193.4,-88.6375,270.0,top
C2,157.6,-117.975,90.0,top
C3,149.8,-108.575,270.0,top
C4,141.3,-108.8,90.0,top
C5,147.7,-120.75,90.0,top
C6,141.2,-120.775,90.0,top
C7,141.3,-114.8,90.0,top
C8,138.2,-120.8,90.0,top
C9,135.2,-120.8,90.0,top
D1,154.6,-108.575,270.0,top
D2,152.2,-108.575,90.0,top
D3,157.6,-111.875,270.0,top
J1,143.92,-127.1975,0.0,top
L1,150.1,-114.575,90.0,top
L2,198.8,-93.0,90.0,top
P1,222.4,-43.4,0.0,top
P2,222.4,-141.6,0.0,top
P3,65.2,-141.6,0.0,top
P4,65.2,-43.4,0.0,top
Q1,155.0,-114.575,90.0,top
Q2,213.4375,-89.875,0.0,top
Q3,218.5,-89.8125,270.0,top
Q4,218.4,-96.4375,90.0,top
Q5,213.4375,-96.275,0.0,top
R1,155.1,-118.2875,270.0,top
R2,203.0,-85.3,270.0,top
R3,203.0,-79.2,270.0,top
R4,210.3,-89.075,90.0,top
R5,213.5,-92.975,180.0,top
R6,210.2,-97.075,270.0,top
R7,203.6,-89.3,0.0,top
R8,206.6,-89.3,0.0,top
U1,179.09,-122.55,180.0,top
U2,209.0,-82.45,270.0,top
U3,204.4625,-93.05,180.0,top
